county,profile,source_features,target_field,source_field,observed_value,normalized_value,count,resolved_target_value,status
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,DOT_SRFTYP,S_SURF2,Paved_Asphalt,PAVED_ASPHALT,42,,review
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,ONEWAY,ONE_WAY,0,0,1665,0,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,POSTTYPE,S_TYPE,AVE,AVE,15,AVE,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,POSTTYPE,S_TYPE,BLVD,BLVD,8,BLVD,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,POSTTYPE,S_TYPE,CIR,CIR,10,CIR,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,POSTTYPE,S_TYPE,DR,DR,43,DR,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,POSTTYPE,S_TYPE,HWY,HWY,77,HWY,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,POSTTYPE,S_TYPE,LANE,LANE,1,LN,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,POSTTYPE,S_TYPE,LN,LN,96,LN,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,POSTTYPE,S_TYPE,LOOP,LOOP,24,LOOP,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,POSTTYPE,S_TYPE,PKWY,PKWY,2,PKWY,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,POSTTYPE,S_TYPE,RD,RD,662,RD,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,POSTTYPE,S_TYPE,ST,ST,38,ST,resolved
