county,profile,source_features,target_field,source_field,observed_value,normalized_value,count,resolved_target_value,status,approved_target_value,note
Rich,rich,C:\Mac\Home\Documents\working\utrans\county_obtained\Rich\RichCo_20211115.gdb\E911_RichRoads11_3_21,DOT_SRFTYP,S_SURF,300,300,413,,review,N,
Rich,rich,C:\Mac\Home\Documents\working\utrans\county_obtained\Rich\RichCo_20211115.gdb\E911_RichRoads11_3_21,DOT_SRFTYP,S_SURF,310,310,15,,review,N,
Rich,rich,C:\Mac\Home\Documents\working\utrans\county_obtained\Rich\RichCo_20211115.gdb\E911_RichRoads11_3_21,DOT_SRFTYP,S_SURF,320,320,78,,review,N,
Rich,rich,C:\Mac\Home\Documents\working\utrans\county_obtained\Rich\RichCo_20211115.gdb\E911_RichRoads11_3_21,DOT_SRFTYP,S_SURF,430,430,60,,review,,no matching value
Rich,rich,C:\Mac\Home\Documents\working\utrans\county_obtained\Rich\RichCo_20211115.gdb\E911_RichRoads11_3_21,DOT_SRFTYP,S_SURF,440,440,2,,review,,no matching value
Rich,rich,C:\Mac\Home\Documents\working\utrans\county_obtained\Rich\RichCo_20211115.gdb\E911_RichRoads11_3_21,POSTTYPE,S_TYPE,CR,CR,5,,review,CIR,assume should be Circle
Rich,rich,C:\Mac\Home\Documents\working\utrans\county_obtained\Rich\RichCo_20211115.gdb\E911_RichRoads11_3_21,SPEED_LMT,SPD_LMT,0,0,4020,,review,25,defaulting to 25
SanJuan,sanjuan,C:\Mac\Home\Documents\working\utrans\county_obtained\SanJuan\SanJuanRoads_20250808.gdb\T2025SanJuanRoads,DOT_CLASS,CLASS,ARIZONA,ARIZONA,11,,review,,no matching value
SanJuan,sanjuan,C:\Mac\Home\Documents\working\utrans\county_obtained\SanJuan\SanJuanRoads_20250808.gdb\T2025SanJuanRoads,DOT_CLASS,CLASS,B Road,B ROAD,1053,,review,B,
SanJuan,sanjuan,C:\Mac\Home\Documents\working\utrans\county_obtained\SanJuan\SanJuanRoads_20250808.gdb\T2025SanJuanRoads,DOT_CLASS,CLASS,C Road,C ROAD,174,,review,C,
SanJuan,sanjuan,C:\Mac\Home\Documents\working\utrans\county_obtained\SanJuan\SanJuanRoads_20250808.gdb\T2025SanJuanRoads,DOT_CLASS,CLASS,Colorado,COLORADO,9,,review,,no matching value
